Villa Name,Wiki Link Text,Wiki Link,Grid Reference,Link,latitude,longitude
Balchester,Upper Wootton,/wiki/Upper_Wootton,SU58005594,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=236499&resourceID=19191,51.29964176147575,-1.1694198569336058
Binsted,Binsted,/wiki/Binsted,SU786413,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=243998&resourceID=19191,51.16555872974684,-0.8771401149630121
Bramdean,Bramdean,/wiki/Bramdean,SU62752813,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=239199&resourceID=19191,51.049102960255155,-1.1061324710329907
Burghclere,Burghclere,/wiki/Burghclere,SU48286015,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=233302&resourceID=19191,51.338399647525705,-1.3082761107827166
Clanville,Clanville,/wiki/Clanville,SU31454897,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=228030&resourceID=19191,51.23905140403771,-1.5508690624496386
Crondall,Crondall,/wiki/Crondall,SU79504712,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=243750&resourceID=19191,51.21775732134184,-0.8629801755422914
Eastleigh,Eastleigh,/wiki/Eastleigh,SU45231628,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=230032&resourceID=19191,50.94419509642908,-1.3575587222396857
Fullerton,Fullerton,/wiki/Fullerton_Hampshire,SU37494006,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=227344&resourceID=19191,51.158573078029164,-1.465275592585588
Fyfield,Fyfield,/wiki/Fyfield_Hampshire,SU29525028,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=224368&resourceID=19191,51.25093316414645,-1.5784081862573562
Glade Farm,Bentley,/wiki/Bentley_Hampshire,SU77914582,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=243745&resourceID=19191,51.20628891975619,-0.886030016313517
Grateley,Grateley,/wiki/Grateley,SU276410,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=223994&resourceID=19191,51.16758596311065,-1.6066297851417097
Hambledon,Hambledon,/wiki/Hambledon_Hampshire,SU64431429,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=239063&resourceID=19191,50.92448038907657,-1.084614940609751
